benchmark,noise_percent,seed,arm,alpha,alpha_mode,best_beta,validation_error,true_alpha,target_noise_l2,initial_slice_effect_l2,target_variance_clean,target_variance_noisy,temporal_adjoint_weight_norm
Frac. RD (space),0.0,0,fully_noisy,0.8074625000000001,fractional_subunit,1.6633376972549314,0.007734409437916494,1.0,0.0,0.0,5.327644968252937e-07,5.327644968252937e-07,35.86915728852505
Frac. RD (space),0.0,0,clean_initial_slice,0.8074625000000001,fractional_subunit,1.6633376972549314,0.007734409437916494,1.0,0.0,0.0,5.327644968252937e-07,5.327644968252937e-07,35.86915728852505
Frac. RD (space),0.0,0,target_only_noise,0.8074625000000001,fractional_subunit,1.6633376972549314,0.007734409437916494,1.0,0.0,0.0,5.327644968252937e-07,5.327644968252937e-07,35.86915728852505
Frac. RD (space),0.0,0,library_only_noise,0.8074625000000001,fractional_subunit,1.6633376972549314,0.007734409437916494,1.0,0.0,0.0,5.327644968252937e-07,5.327644968252937e-07,35.86915728852505
Frac. RD (space),0.0,0,clean,0.8099500000000001,fractional_subunit,1.6632692952732022,0.00754673108668764,1.0,0.0,0.0,5.338132476502483e-07,5.338132476502483e-07,36.022260283142195
Frac. RD (space),0.0,0,fully_noisy,0.8099500000000001,fractional_subunit,1.6632692952732022,0.00754673108668764,1.0,0.0,0.0,5.338132476502483e-07,5.338132476502483e-07,36.022260283142195
Frac. RD (space),0.0,0,clean_initial_slice,0.8099500000000001,fractional_subunit,1.6632692952732022,0.00754673108668764,1.0,0.0,0.0,5.338132476502483e-07,5.338132476502483e-07,36.022260283142195
Frac. RD (space),0.0,0,target_only_noise,0.8099500000000001,fractional_subunit,1.6632692952732022,0.00754673108668764,1.0,0.0,0.0,5.338132476502483e-07,5.338132476502483e-07,36.022260283142195
Frac. RD (space),0.0,0,library_only_noise,0.8099500000000001,fractional_subunit,1.6632692952732022,0.00754673108668764,1.0,0.0,0.0,5.338132476502483e-07,5.338132476502483e-07,36.022260283142195
Frac. RD (space),0.0,0,clean,0.8124375,fractional_subunit,1.6632008448213165,0.007361592014629286,1.0,0.0,0.0,5.348631911998003e-07,5.348631911998003e-07,36.17745254849715
Frac. RD (space),0.0,0,fully_noisy,0.8124375,fractional_subunit,1.6632008448213165,0.007361592014629286,1.0,0.0,0.0,5.348631911998003e-07,5.348631911998003e-07,36.17745254849715
Frac. RD (space),0.0,0,clean_initial_slice,0.8124375,fractional_subunit,1.6632008448213165,0.007361592014629286,1.0,0.0,0.0,5.348631911998003e-07,5.348631911998003e-07,36.17745254849715
Frac. RD (space),0.0,0,target_only_noise,0.8124375,fractional_subunit,1.6632008448213165,0.007361592014629286,1.0,0.0,0.0,5.348631911998003e-07,5.348631911998003e-07,36.17745254849715
Frac. RD (space),0.0,0,library_only_noise,0.8124375,fractional_subunit,1.6632008448213165,0.007361592014629286,1.0,0.0,0.0,5.348631911998003e-07,5.348631911998003e-07,36.17745254849715
Frac. RD (space),0.0,0,clean,0.814925,fractional_subunit,1.6631325531520034,0.00717908761397332,1.0,0.0,0.0,5.359154458996526e-07,5.359154458996526e-07,36.33474679231542
Frac. RD (space),0.0,0,fully_noisy,0.814925,fractional_subunit,1.6631325531520034,0.00717908761397332,1.0,0.0,0.0,5.359154458996526e-07,5.359154458996526e-07,36.33474679231542
Frac. RD (space),0.0,0,clean_initial_slice,0.814925,fractional_subunit,1.6631325531520034,0.00717908761397332,1.0,0.0,0.0,5.359154458996526e-07,5.359154458996526e-07,36.33474679231542
Frac. RD (space),0.0,0,target_only_noise,0.814925,fractional_subunit,1.6631325531520034,0.00717908761397332,1.0,0.0,0.0,5.359154458996526e-07,5.359154458996526e-07,36.33474679231542
Frac. RD (space),0.0,0,library_only_noise,0.814925,fractional_subunit,1.6631325531520034,0.00717908761397332,1.0,0.0,0.0,5.359154458996526e-07,5.359154458996526e-07,36.33474679231542
Frac. RD (space),0.0,0,clean,0.8174125,fractional_subunit,1.6630612447912416,0.006997672834713659,1.0,0.0,0.0,5.369528241919661e-07,5.369528241919661e-07,36.494155591948875
Frac. RD (space),0.0,0,fully_noisy,0.8174125,fractional_subunit,1.6630612447912416,0.006997672834713659,1.0,0.0,0.0,5.369528241919661e-07,5.369528241919661e-07,36.494155591948875
Frac. RD (space),0.0,0,clean_initial_slice,0.8174125,fractional_subunit,1.6630612447912416,0.006997672834713659,1.0,0.0,0.0,5.369528241919661e-07,5.369528241919661e-07,36.494155591948875
Frac. RD (space),0.0,0,target_only_noise,0.8174125,fractional_subunit,1.6630612447912416,0.006997672834713659,1.0,0.0,0.0,5.369528241919661e-07,5.369528241919661e-07,36.494155591948875
Frac. RD (space),0.0,0,library_only_noise,0.8174125,fractional_subunit,1.6630612447912416,0.006997672834713659,1.0,0.0,0.0,5.369528241919661e-07,5.369528241919661e-07,36.494155591948875
Frac. RD (space),0.0,0,clean,0.8199000000000001,fractional_subunit,1.6629897149281128,0.006818701165154003,1.0,0.0,0.0,5.379902114717103e-07,5.379902114717103e-07,36.65569139375916
Frac. RD (space),0.0,0,fully_noisy,0.8199000000000001,fractional_subunit,1.6629897149281128,0.006818701165154003,1.0,0.0,0.0,5.379902114717103e-07,5.379902114717103e-07,36.65569139375916
Frac. RD (space),0.0,0,clean_initial_slice,0.8199000000000001,fractional_subunit,1.6629897149281128,0.006818701165154003,1.0,0.0,0.0,5.379902114717103e-07,5.379902114717103e-07,36.65569139375916
Frac. RD (space),0.0,0,target_only_noise,0.8199000000000001,fractional_subunit,1.6629897149281128,0.006818701165154003,1.0,0.0,0.0,5.379902114717103e-07,5.379902114717103e-07,36.65569139375916
Frac. RD (space),0.0,0,library_only_noise,0.8199000000000001,fractional_subunit,1.6629897149281128,0.006818701165154003,1.0,0.0,0.0,5.379902114717103e-07,5.379902114717103e-07,36.65569139375916
Frac. RD (space),0.0,0,clean,0.8223875,fractional_subunit,1.6629183471561666,0.006642366614579001,1.0,0.0,0.0,5.390298963470852e-07,5.390298963470852e-07,36.8193665125949
Frac. RD (space),0.0,0,fully_noisy,0.8223875,fractional_subunit,1.6629183471561666,0.006642366614579001,1.0,0.0,0.0,5.390298963470852e-07,5.390298963470852e-07,36.8193665125949
Frac. RD (space),0.0,0,clean_initial_slice,0.8223875,fractional_subunit,1.6629183471561666,0.006642366614579001,1.0,0.0,0.0,5.390298963470852e-07,5.390298963470852e-07,36.8193665125949
Frac. RD (space),0.0,0,target_only_noise,0.8223875,fractional_subunit,1.6629183471561666,0.006642366614579001,1.0,0.0,0.0,5.390298963470852e-07,5.390298963470852e-07,36.8193665125949
Frac. RD (space),0.0,0,library_only_noise,0.8223875,fractional_subunit,1.6629183471561666,0.006642366614579001,1.0,0.0,0.0,5.390298963470852e-07,5.390298963470852e-07,36.8193665125949
Frac. RD (space),0.0,0,clean,0.824875,fractional_subunit,1.6628441196173378,0.006467293045538268,1.0,0.0,0.0,5.400554685610742e-07,5.400554685610742e-07,36.98519313136151
Frac. RD (space),0.0,0,fully_noisy,0.824875,fractional_subunit,1.6628441196173378,0.006467293045538268,1.0,0.0,0.0,5.400554685610742e-07,5.400554685610742e-07,36.98519313136151
Frac. RD (space),0.0,0,clean_initial_slice,0.824875,fractional_subunit,1.6628441196173378,0.006467293045538268,1.0,0.0,0.0,5.400554685610742e-07,5.400554685610742e-07,36.98519313136151
Frac. RD (space),0.0,0,target_only_noise,0.824875,fractional_subunit,1.6628441196173378,0.006467293045538268,1.0,0.0,0.0,5.400554685610742e-07,5.400554685610742e-07,36.98519313136151
Frac. RD (space),0.0,0,library_only_noise,0.824875,fractional_subunit,1.6628441196173378,0.006467293045538268,1.0,0.0,0.0,5.400554685610742e-07,5.400554685610742e-07,36.98519313136151
Frac. RD (space),0.0,0,clean,0.8273625,fractional_subunit,1.662769410874269,0.0062945761965455295,1.0,0.0,0.0,5.410798131211734e-07,5.410798131211734e-07,37.15318330068196
Frac. RD (space),0.0,0,fully_noisy,0.8273625,fractional_subunit,1.662769410874269,0.0062945761965455295,1.0,0.0,0.0,5.410798131211734e-07,5.410798131211734e-07,37.15318330068196
Frac. RD (space),0.0,0,clean_initial_slice,0.8273625,fractional_subunit,1.662769410874269,0.0062945761965455295,1.0,0.0,0.0,5.410798131211734e-07,5.410798131211734e-07,37.15318330068196
Frac. RD (space),0.0,0,target_only_noise,0.8273625,fractional_subunit,1.662769410874269,0.0062945761965455295,1.0,0.0,0.0,5.410798131211734e-07,5.410798131211734e-07,37.15318330068196
Frac. RD (space),0.0,0,library_only_noise,0.8273625,fractional_subunit,1.662769410874269,0.0062945761965455295,1.0,0.0,0.0,5.410798131211734e-07,5.410798131211734e-07,37.15318330068196
Frac. RD (space),0.0,0,clean,0.8298500000000001,fractional_subunit,1.6626948675778277,0.006124499192783022,1.0,0.0,0.0,5.421064415718002e-07,5.421064415718002e-07,37.323348938646845
Frac. RD (space),0.0,0,fully_noisy,0.8298500000000001,fractional_subunit,1.6626948675778277,0.006124499192783022,1.0,0.0,0.0,5.421064415718002e-07,5.421064415718002e-07,37.323348938646845
