method,noise_percent,seed,alpha_mode,alpha,beta,coefficient,branch_recovered,operator_recovered,e_alpha,e_beta,e_coefficient_relative,val_rel_mse,full_data_rel_l2,runtime_seconds,selected_equation
Strong Pareto,1.0,0,integer,1.0,1.672418987613726,0.08464773517621636,False,False,0.6499999999999999,0.3275810123862739,0.2946022068648636,0.8433069334736041,0.9102337515925547,0.16098699999929522,partial_t u = (0.084648)*D_x^1.67242 u
Strong Pareto,1.0,1,fractional_subunit,0.65,0.5,-0.10343232319258701,False,False,0.9999999999999999,1.5,1.8619360266048917,0.8319747301315363,0.914406603006807,0.15825758400023915,D_t^0.65000 u = (-0.10343)*D_x^0.50000 u
Strong Pareto,1.0,2,integer,1.0,1.6742715152916494,0.0799568627015456,False,False,0.6499999999999999,0.3257284847083506,0.33369281082045327,0.8105295074075516,0.9129067439255283,0.14735258299697307,partial_t u = (0.079957)*D_x^1.67427 u
Strong Pareto,1.0,3,integer,1.0,1.6724536974988586,0.0796402049014985,False,False,0.6499999999999999,0.32754630250114136,0.33633162582084586,0.8173806220220534,0.9144817226853799,0.15172154199899524,partial_t u = (0.07964)*D_x^1.67245 u
Strong Pareto,1.0,4,integer,1.0,1.691752711667358,0.07909854563606625,False,False,0.6499999999999999,0.3082472883326419,0.34084545303278124,0.8169007249753184,0.9124446674144747,0.14569762500104844,partial_t u = (0.079099)*D_x^1.69175 u
Weak-Pareto,0.0,0,fractional_superunit,1.6498514291274076,1.9990900772191755,0.1166262867838896,True,True,0.00014857087259234625,0.0009099227808244681,0.02811427680091995,8.616835960712818e-05,0.01028260929524411,0.2667322500019509,D_t^1.64985 u = (0.11663)*D_x^1.99909 u
Weak-Pareto,0.0,1,fractional_superunit,1.6498494456287456,1.9990901392013338,0.11662641820904013,True,True,0.00015055437125433002,0.0009098607986661733,0.02811318159133223,0.00013074000122104257,0.010282609272873357,0.26152004200048395,D_t^1.64985 u = (0.11663)*D_x^1.99909 u
Weak-Pareto,0.0,2,fractional_superunit,1.6498495306641043,1.999090086762846,0.11662641513114631,True,True,0.00015046933589557554,0.0009099132371539476,0.028113207240447354,0.00010038852698505506,0.010282609270365702,0.267903625001054,D_t^1.64985 u = (0.11663)*D_x^1.99909 u
Weak-Pareto,0.0,3,fractional_superunit,1.6498512110320855,1.9990898934624575,0.11662631102141152,True,True,0.00014878896791437057,0.0009101065375425321,0.028114074821570616,9.499745638367059e-05,0.01028260929364599,0.2604334999996354,D_t^1.64985 u = (0.11663)*D_x^1.99909 u
Weak-Pareto,0.0,4,fractional_superunit,1.6498497546442312,1.999090605185736,0.1166263733077615,True,True,0.00015024535576868558,0.0009093948142639974,0.02811355576865411,0.00010590553013213734,0.010282609259876585,0.2641432500022347,D_t^1.64985 u = (0.11663)*D_x^1.99909 u
Weak-Pareto,0.5,0,fractional_superunit,1.6568934872914707,1.9211056487976246,0.12916402631194027,True,True,0.006893487291470768,0.07889435120237542,0.0763668859328356,0.014273804415844476,0.1353662620676916,0.2536419999996724,D_t^1.65689 u = (0.12916)*D_x^1.92111 u
Weak-Pareto,0.5,1,fractional_superunit,1.736064167946414,1.9692705244302928,0.11335944840930069,True,True,0.08606416794641403,0.030729475569707176,0.0553379299224942,0.06007162546530876,0.19979492216687555,0.2521999169985065,D_t^1.73606 u = (0.11336)*D_x^1.96927 u
Weak-Pareto,0.5,2,fractional_superunit,1.7345244385249945,2.008891314596999,0.12084191986123377,True,True,0.08452443852499458,0.008891314596998878,0.007015998843614794,0.042347551912274524,0.20670618782466918,0.25101008400088176,D_t^1.73452 u = (0.12084)*D_x^2.00889 u
Weak-Pareto,0.5,3,fractional_superunit,1.751674098421919,2.0186831151637588,0.12560692069529797,True,True,0.1016740984219191,0.018683115163758757,0.04672433912748311,0.030436839614796662,0.19367009217420036,0.2495100000014645,D_t^1.75167 u = (0.12561)*D_x^2.01868 u
Weak-Pareto,0.5,4,fractional_superunit,1.7405308067184195,2.0492267192700897,0.09869370369246877,True,True,0.09053080671841962,0.0492267192700897,0.17755246922942688,0.027173015935770352,0.17579349875656541,0.2577088339967304,D_t^1.74053 u = (0.098694)*D_x^2.04923 u
Weak-Pareto,1.0,0,fractional_superunit,1.711459152063729,1.8680273823876323,0.135403616568053,True,True,0.061459152063729094,0.13197261761236767,0.1283634714004417,0.04515609873436493,0.23810728289216285,0.2504218750000291,D_t^1.71146 u = (0.1354)*D_x^1.86803 u
Weak-Pareto,1.0,1,fractional_superunit,1.85,1.9581723304731509,0.10327613241562644,True,False,0.20000000000000018,0.04182766952684913,0.13936556320311294,0.14249195511526425,0.3160358357445586,0.1485162089993537,D_t^1.85000 u = (0.10328)*D_x^1.95817 u
Weak-Pareto,1.0,2,fractional_superunit,1.85,2.0083969495181773,0.11177814021064962,True,False,0.20000000000000018,0.008396949518177266,0.06851549824458646,0.10442296236463162,0.32115003535273895,0.1453597500003525,D_t^1.85000 u = (0.11178)*D_x^2.00840 u
Weak-Pareto,1.0,3,fractional_superunit,1.85,2.0236033175899957,0.12074729204525968,True,False,0.20000000000000018,0.023603317589995676,0.006227433710497346,0.06741078033487197,0.2903084116685364,0.14865095799905248,D_t^1.85000 u = (0.12075)*D_x^2.02360 u
Weak-Pareto,1.0,4,fractional_superunit,1.85,2.0666224566836418,0.08588082655222117,True,False,0.20000000000000018,0.06662245668364175,0.28432644539815694,0.07464667286584754,0.29579095666002214,0.14718108300075983,D_t^1.85000 u = (0.085881)*D_x^2.06662 u
